"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"hgd",3.71359056566982e-06,0.16969331561968,0.842598551998354,1.15012514343426,1.03615337653016,0.802317808775404,0.587448238997362,0.422913098510026,0.304544513584845,0.221072506050853
"hgfac",1.01037729849927e-06,0.15229134187376,0.898768774099608,1.19670589335314,1.04643385711302,0.792560771915757,0.571150224401116,0.406411149418958,0.290098904167235,0.209158482989352
"hgh1",1.6659222399246e-08,0.0314018841551247,0.241079577303222,0.376840139316238,0.363531415201103,0.293452418106627,0.220957663407865,0.162293963151553,0.118643901376469,0.0871402853316482
"hgs",3.92094625663746e-07,0.0854952270800756,0.497512886499571,0.671185642776033,0.590639190848564,0.448473859115356,0.323411523518837,0.230086558635675,0.164138780588622,0.118249247895691
"hgsnat",3.43596470466151e-07,0.0735041177623432,0.405297016532066,0.545654713375992,0.483079604288968,0.369012279952827,0.267419001458481,0.190994581559188,0.136675388104291,0.0987113261318332
"hhex",3.69025419753372e-07,0.121135598238428,0.693769006004797,0.94988987198737,0.851086788264222,0.655961072967152,0.47864546933647,0.343713302550582,0.247037755282495,0.179060409706024
"hiat1",1.57612650453894e-06,0.161077461291933,0.702386806898748,0.889630744118653,0.773268838042049,0.586884912320409,0.424320901630077,0.302847338981341,0.216719932639811,0.156572726347898
"hiatl1",3.58446391624959e-06,0.174929665055424,0.865928462080367,1.2045157348591,1.08481587493505,0.836196636053102,0.609216937225766,0.436602825804401,0.313167468862297,0.226564267231634
"hibadh",3.37890081481877e-07,0.190371897054004,1.09940494156638,1.50155244014859,1.35115104415972,1.0461839492907,0.766274571535489,0.551892615392646,0.397589339468496,0.288721648141644
"hibch",4.1158243780677e-08,0.0959562658340095,0.653625442418183,0.918732458975304,0.830151979662012,0.642656994750474,0.470371337905079,0.338589711471786,0.243852096663197,0.177064664742484
"hif1a",2.50211306562752e-07,0.115793009151237,0.645521053223265,0.871908771581772,0.7768157838159,0.596586724940263,0.43412889579037,0.311042925166184,0.223129820170977,0.161466322783806
"hif1an",1.69979199344645e-08,0.071417005390399,0.478628429164958,0.652549004673642,0.573715444466371,0.434298824793306,0.312146302317911,0.221376071194129,0.157479840289503,0.113168780318286
"higd1a",2.81799588097406e-07,0.132226102105923,0.825974280101277,1.16747721679652,1.06714869799738,0.833545533832577,0.613944474111141,0.443898097716956,0.320703511199739,0.233399931998538
"higd2a",4.76568547531865e-06,0.169435270903725,0.880145183779719,1.19828753016145,1.07787250127697,0.834625212876955,0.611471593049438,0.440552379511595,0.317500792402455,0.230652549540345
"hilpda",2.29851057435013e-09,0.0527623121568895,0.443889864726205,0.645511324438763,0.584833271743948,0.450629779039464,0.327738869536766,0.234421620020773,0.167837471390026,0.121222858634837
"hinfp",1.13188494643854e-07,0.0736062418536163,0.345264686880117,0.425234182009374,0.357505405056578,0.263754040102711,0.186367281477089,0.130565060568025,0.0920228785042625,0.0656497770688641
"hint1",2.47428138128406e-06,0.158691883858984,0.957174035988586,1.39668677654313,1.3023458400947,1.02898378334381,0.763239800246725,0.554395182637159,0.40182119376142,0.293118548170312
"hint2",1.23839738441063e-06,0.147681308266561,0.884687049559168,1.2957853183668,1.21210376252309,0.960543825925209,0.714371017563836,0.520092181527705,0.377701471578894,0.275989057010308
"hint3",1.34937260085209e-07,0.118521933593916,0.810011820214868,1.15574254583397,1.0539014264112,0.820205477152819,0.602156974765686,0.434207152266256,0.313013564985983,0.227391564658889
"hip1r",2.4644459154181e-08,0.0594950208667764,0.390640857432408,0.539698199950017,0.483073218479018,0.371454100408115,0.270398916885196,0.193749740846923,0.138985951295152,0.100570989080874
"hipk1",1.37031966462878e-07,0.0875614495564009,0.539777312305268,0.751328284054772,0.684151954282475,0.534975179559486,0.395155615742526,0.286661221002553,0.207794029912113,0.151701367823009
